query_id,query,classification,processable_entities,unprocessable_entities,justification
15,Did I exceed my grocery budget last year?,processable,"groceries category (via category_id for e63f7849-c0c0-012e-440e-3d0bc2c8ea94), last year date filter (via transaction_booking_timestamp), actual spending calculation (SUM amount), budget amount (from budgets table via customer_id mapping), customer_id to account_id mapping table","","Budget data exists in budgets.csv with category_id matching transaction categories. Can join transactions → account_id → customer_id → budgets on category_id. Budgets are fixed threshold amounts that apply on an ongoing basis. Filter groceries transactions (category_id = e63f7849-c0c0-012e-440e-3d0bc2c8ea94), check budget was active during last year (via last_modified_timestamp and deleted flag), group spending by month, SUM monthly amounts, compare each month to budget.amount threshold, determine if any month exceeded budget. Straightforward budget comparison using fixed threshold."
16,Did I exceed my grocery budget in the last year and how many times did that happen?,processable,"groceries category (via category_id), date filter (last year), monthly spending aggregation, budget amount (from budgets table via customer_id mapping), budget active periods (via last_modified_timestamp), customer_id to account_id mapping table","","Similar to query 15 but counts exceedances. Join transactions → account_id → customer_id → budgets on category_id. For each month in last year: (1) check if budget was active (last_modified_timestamp and deleted flag), (2) SUM grocery spending for that month, (3) compare to budget.amount threshold. COUNT how many months where monthly_spending > budget.amount. Budgets are fixed thresholds applied monthly, so 'how many times' = count of months exceeding threshold."
17,Which hotel did I stay at in December 2024?,indeterminate,"date filter (December 2024 via transaction_booking_timestamp), hotel-related transactions","reliable hotel identification from merchant names","Can filter by December 2024 and search display_narrative ILIKE '%hotel%' or potentially filter by Vacation category (3bf50d42-0ced-88b7-ce99-46e07a75284b). However, reliability is questionable: (1) not all hotels have 'hotel' in merchant name (e.g., Marriott, Hilton, Premier Inn without 'hotel' suffix), (2) hotels booked through third-party sites (Booking.com, Expedia) show booking site name not hotel name, (3) no dedicated accommodation/hotel category. May find some hotels like 'WALDORF HOTEL' but likely to miss others."
18,Which specific utility did I spend the most on in 2023 and 2024?,processable,"utilities/bills categories (via category_id for Bills > Utilities, Energy Providers, Heating), specific utility provider names (via display_narrative), date filter (2023-2024), amount aggregation","","Can filter by Bills category_ids (Utilities: 2d30087a-c45f-c26d-d289-95ea196db353, Energy Providers: 03606ff1-51bf-fef2-c305-e8462cd2db22, Heating: 3b8a0cd0-b6e9-ae65-3c29-7c1f27d1ad48), filter by 2023-2024, group by display_narrative (which shows specific providers like 'British Gas', 'SSE', 'EON ENERG'), SUM amounts, and order DESC. Display_narrative reliably contains utility provider names for bill payments."
19,When did I start my tennis lessons last year?,indeterminate,"date filter (last year), tennis-related transactions (potentially via display_narrative keyword search or Sports category)","reliable identification of tennis lessons from transaction data","Can filter by last year, search display_narrative ILIKE '%tennis%', or filter by Sports category (0fe0576d-7b53-2c19-cf30-daa21fae8730), order by transaction_booking_timestamp ASC to find first occurrence. However, reliability is questionable: tennis lessons might appear under generic merchant names without 'tennis' keyword (e.g., sports center name, gym name, coach's personal name). No dedicated tennis or lessons subcategory. Query may return no results even if tennis lessons were paid for."
20,How much did I spend in February and March this year compared to last year?,processable,"date filters (Feb+Mar current year vs last year via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation for comparison","","Can filter by transaction_type = 'spending', extract month and year from transaction_booking_timestamp, filter for February and March separately for current year and last year, SUM amounts for each period, and compare. Straightforward date range comparison with aggregation across two time periods."
21,Did I spend at Trader Joes in 2022?,processable,"merchant name (Trader Joes via display_narrative ILIKE), year filter (2022 via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%Trader Joe%' (note: merchant might appear as 'Trader Joes' or 'Trader Joe's'), filter by year 2022 via transaction_booking_timestamp, check if any transactions exist (COUNT > 0 or return list). Straightforward merchant + date filter query. Sample data only includes 2023-2025, but query structure is valid for any date range in actual production dataset."
22,What is my month on month spending at Walmart Whole Foods and Trader Joes for groceries in 2023,processable,"groceries category (via category_id), month-over-month aggregation (via transaction_booking_timestamp), year filter (2023), merchant filtering (Walmart, Whole Foods, Trader Joes via display_narrative ILIKE)","","Can filter by groceries category_id OR display_narrative ILIKE for specific merchants (Walmart, Whole Foods/'Wholefoods', Trader Joes/'Trader Joe's'), filter by year 2023, group by month and merchant, SUM amounts per merchant per month to show month-over-month trends. Query structure is fully processable - sample data may be UK-focused (Tesco, Asda, Morrisons) but production data could include US merchants or any global grocery chains."
23,How much have I spent on train and bus this year?,processable,"transport category (via category_id for Train: 53eec3db-6949-e598-6253-f537581d4bd4, Coach: 527d649d-16e7-bcb2-ba53-845b259c4142, Regional Travel: 928ea42e-5e98-fd19-7d80-9338d5c9f97b), bus/train merchant names (via display_narrative), date filter (this year), amount aggregation","","Can filter by Transport subcategories (Train, Coach, Regional Travel) or search display_narrative for bus/train operators (Arriva, FirstGroup, Lothian Buses visible in data). Filter by current year, SUM amounts. May not capture 100% of bus/train transactions if some appear under generic transport merchants, but category filtering provides reliable coverage. Coach category includes bus services in UK context."
24,Which of my direct debit merchants Netflix Spotify Amazon or Disney Plus has the highest subscription fee?,processable,"direct debit transactions (via proprietary_bank_transaction_code = 'D/D'), Netflix/Spotify/Amazon/Disney Plus merchants (via display_narrative ILIKE), amount comparison","","Can filter by proprietary_bank_transaction_code = 'D/D' to get direct debits, filter by display_narrative ILIKE for each merchant (Netflix, Spotify, Amazon Prime, Disney), group by merchant, find typical amount for each (could use MAX, AVG, or MODE depending on interpretation), compare amounts. Netflix and Spotify are visible in display_narrative (321 values). Direct debit transactions are reliably captured via D/D code."
25,When did I change my Netflix direct debit plan from 20 dollars to 37 dollars?,processable,"Netflix merchant (via display_narrative ILIKE), direct debit transactions (D/D code), amount change detection (from $20 to $37), temporal ordering (via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%Netflix%' AND proprietary_bank_transaction_code = 'D/D', order by transaction_booking_timestamp, identify sequential transactions where amount changed from -20 (or -£20) to -37 (or -£37). Find the date of first occurrence of -37 amount after -20 amount. Requires temporal analysis of amount values across Netflix D/D transactions."
26,Which airlines have I flown with in the past year?,processable,"airlines (via Flights category_id: 39e295f6-ed2f-0876-8aa3-80e8e546bb34 or display_narrative airline names), past year date filter (via transaction_booking_timestamp), distinct merchants","","Can filter by Flights category (39e295f6-ed2f-0876-8aa3-80e8e546bb34) or search display_narrative for airline names (Aer Lingus, Air India, British Airways, Lufthansa, Ryanair, Wizz Air visible in data). Filter by past year, SELECT DISTINCT display_narrative to get list of airlines. Category filtering ensures all flight purchases captured regardless of merchant name variations."
27,What was the total amount of direct debits from my account in February 2025?,processable,"direct debits (via proprietary_bank_transaction_code = 'D/D'), date filter (February 2025), amount aggregation","","Can filter by proprietary_bank_transaction_code = 'D/D', filter by February 2025 date range via transaction_booking_timestamp, SUM amounts. Straightforward aggregation with transaction code and date filters. D/D is one of 13 verified NatWest transaction codes."
28,Did I spend over my budget last month?,processable,"budget data (via budgets table joined on customer_id and category_id), last month spending aggregation (via transaction_booking_timestamp), budget threshold comparison","","Can join transactions → account_id → customer_id → budgets, filter by last month, group by category_id, SUM spending per category, compare each category to its budget.amount threshold. Determine if any category exceeded budget (or if total spending exceeded total budgets, depending on interpretation). Budgets are fixed thresholds applied monthly, so monthly comparison is appropriate."
29,What is my total amount spent at Amazon in the last month?,processable,"Amazon merchant (via display_narrative ILIKE), last month date filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%' to capture Amazon variations (Amazon, Amazon Prime, AMZNM, etc.), filter by last month date range, filter by transaction_type = 'spending', SUM amounts. Straightforward merchant aggregation with date filter."
30,What is the total amount I received from my savings account each month in 2024?,processable,"savings account transfers (via Transfers > Savings category_id: c8053fdb-8ba9-71d2-d815-42721c808b75 or display_narrative patterns for savings transfers), income transactions (positive amounts or transaction_type = 'income'), monthly aggregation (via transaction_booking_timestamp), year filter (2024)","","Can filter by transaction_type = 'income' AND (category_id = c8053fdb-8ba9-71d2-d815-42721c808b75 for transfers:savings OR display_narrative patterns like 'SAVINGS' or account transfer patterns), filter by 2024, group by month (MONTH(transaction_booking_timestamp)), SUM positive amounts per month. Display_narrative shows transfer patterns like 'TO A/C ROUND UPS', 'SAVINGS 123', 'SAVINGS WEEKLY ROUNDUP' which indicate savings account activity."
31,What are my recurring payments over 50 dollars in the past three months?,processable,"recurring payments (via recurring_payment_id IS NOT NULL or recurring_payment_type = 'SUBSCRIPTION' or proprietary_bank_transaction_code IN ('D/D', 'S/O') for Direct Debits and Standing Orders), amount threshold filter (>$50), date filter (past 3 months via transaction_booking_timestamp)","","Can filter by proprietary_bank_transaction_code IN ('D/D', 'S/O') to capture Direct Debits and Standing Orders (main recurring payment methods), filter by ABS(amount) > 50, filter by past 3 months, group by display_narrative to identify distinct recurring merchants. Alternatively, filter by recurring_payment_type = 'SUBSCRIPTION' but this is 99.23% null so less reliable. D/D and S/O codes reliably capture recurring payment methods."
32,How much did I spend on Entertainment in August 2023?,processable,"Entertainment category (via category_id for Fun & leisure: 2b01b420-7e0e-bcee-fbf9-cc79dfd2a5e4), date filter (August 2023 via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Entertainment/Fun & leisure category_id (2b01b420-7e0e-bcee-fbf9-cc79dfd2a5e4), filter by August 2023 date range, filter by transaction_type = 'spending', SUM amounts. Straightforward category + date aggregation query."
33,When did I receive a refund from Tesco and what was the amount?,processable,"Tesco merchant (via display_narrative ILIKE), refund (positive amount or income transaction_type), date retrieval (transaction_booking_timestamp), amount value","","Can filter by display_narrative ILIKE '%Tesco%' AND transaction_type = 'income' (or amount > 0) to identify refunds from Tesco, return transaction_booking_timestamp and amount. Refunds from merchants appear as positive amounts with merchant name in display_narrative. Query doesn't specify time range so return all Tesco refunds ordered by date DESC (or most recent if singular 'a refund')."
34,What is my average amount spent per transaction in September,processable,"spending transactions (transaction_type = 'spending'), date filter (September via transaction_booking_timestamp), average calculation (AVG of amount)","","Can filter by transaction_type = 'spending', filter by September (assuming current year or could be September across all years), calculate AVG(ABS(amount)) for all transactions. Query doesn't specify year so could interpret as most recent September or aggregate all September months. Both interpretations are processable with simple date and aggregation filters."
35,What is my biggest outgoing transaction in 2024?,processable,"outgoing/spending transactions (transaction_type = 'spending' or negative amounts), year filter (2024 via transaction_booking_timestamp), maximum amount (MAX or ORDER BY amount ASC LIMIT 1)","","Can filter by transaction_type = 'spending', filter by 2024, find MIN(amount) since spending is negative (most negative = biggest outgoing) or MAX(ABS(amount)), return transaction with merchant name and date. Straightforward MAX aggregation with filters."
36,What is my spending at Burger King this month?,processable,"Burger King merchant (via display_narrative ILIKE), this month date filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Burger King%', filter by current month date range, filter by transaction_type = 'spending', SUM amounts. Standard merchant aggregation query. Note: Burger King may not be in sample data (UK-focused) but query structure is valid."
37,Which subscription between TV Sky and Netflix had more frequent payments over the last 2 years,processable,"subscription merchants (TV Sky and Netflix via display_narrative ILIKE), subscription payments (proprietary_bank_transaction_code = 'D/D' for direct debits or recurring_payment_type = 'SUBSCRIPTION'), date filter (last 2 years via transaction_booking_timestamp), frequency count comparison","","Can filter by (display_narrative ILIKE '%Sky%' OR '%Netflix%') AND proprietary_bank_transaction_code = 'D/D', filter by last 2 years, group by merchant, COUNT transactions per merchant, compare counts. Sky and Netflix visible in display_narrative. D/D code reliably captures subscription payments via direct debit."
38,How many times did I order from Zomato in July?,processable,"Zomato merchant (via display_narrative ILIKE), July date filter (via transaction_booking_timestamp), transaction count","","Can filter by display_narrative ILIKE '%Zomato%', filter by July (assuming current year or could specify year), COUNT transactions. Straightforward merchant + date frequency count. Zomato visible in display_narrative ('ZOMATO MEDIA PRIVATE L DELHI IN')."
39,What was my account balance after sending $200 to Phil on 15th October?,processable,"transfer to Phil (via display_narrative patterns for 'Phil'), $200 amount filter, October 15th date filter (via transaction_booking_timestamp), account balance retrieval (via balance field)","","Can filter by display_narrative ILIKE '%Phil%' AND transaction_type = 'spending' AND ABS(amount) = 200 AND date = October 15th (year assumed current or specified), return the balance field from that transaction. The balance field represents account balance after the transaction. Returns account balance after the $200 payment to Phil."
40,Which month did I receive the lowest rent income this year?,processable,"rent income (via Income > Income > Refund category_id or better via category for rent income if exists, or display_narrative patterns for rent), income transactions (transaction_type = 'income'), this year date filter (via transaction_booking_timestamp), monthly aggregation, minimum finding","","Can filter by transaction_type = 'income' AND (category_id for rent income or display_narrative patterns indicating rent payments received), filter by current year, group by month (MONTH(transaction_booking_timestamp)), SUM income per month, find month with MIN sum. Rent income may appear under Income categories or via display_narrative patterns. Query structure is valid regardless of how rent is categorized."
41,Which month in the past year did I transfer the maximum amount to my savings account?,processable,"savings transfers (via Transfers > Savings category_id: c8053fdb-8ba9-71d2-d815-42721c808b75 or display_narrative patterns), past year date filter (via transaction_booking_timestamp), monthly aggregation, maximum finding","","Can filter by category_id = c8053fdb-8ba9-71d2-d815-42721c808b75 (transfers:savings) OR display_narrative patterns like 'SAVINGS', 'ROUND UPS', filter by past year, group by month, SUM transfer amounts per month, find month with MAX sum. Display_narrative shows savings-related transfers reliably."
42,How many transactions contributed to the 450 dollars spent at Cliveland Cafe in the last 3 months?,processable,"Cliveland Cafe merchant (via display_narrative ILIKE), last 3 months date filter (via transaction_booking_timestamp), spending filter, transaction count, amount validation","","Can filter by display_narrative ILIKE '%Cliveland%' OR '%Cleveland%' (checking spelling variations), filter by last 3 months, filter by transaction_type = 'spending', COUNT transactions, verify SUM(ABS(amount)) ≈ 450 to validate the premise. Returns count of transactions that sum to approximately $450."
43,Why is there a transaction for Cliveland Cafe in my dining expenses if I never went there?,unprocessable,"Cliveland Cafe merchant (via display_narrative ILIKE), dining/eating out category (via category_id), transaction verification","causality and user knowledge - requires external context about user's actual behavior","Can identify IF there are Cliveland Cafe transactions in Eating out category (filter by display_narrative + category_id), but cannot answer WHY a transaction exists or explain discrepancies between user's memory and transaction data. This requires external context: fraudulent transaction investigation, shared account usage, forgotten visits, merchant name confusion, etc. Data can show WHAT transactions exist but not WHY they exist or if they're erroneous."
44,Can you review my spending from last weekend and provide a breakdown to verify the total amount spent?,processable,"last weekend date range (via transaction_booking_timestamp - identify Saturday/Sunday of previous week), spending transactions (transaction_type = 'spending'), breakdown by merchant or category (via display_narrative or category_id), amount aggregation","","Can identify last weekend date range (previous Saturday-Sunday), filter by transaction_type = 'spending', group by display_narrative or category_id for breakdown, SUM amounts per group and total. Returns itemized list of weekend spending with subtotals and grand total for verification."
45,Can you recheck how much I spent last weekend?,processable,"last weekend date range (via transaction_booking_timestamp), spending transactions (transaction_type = 'spending'), amount aggregation","","Same as query 44 but simplified - just total without breakdown. Can filter by last weekend dates, filter by transaction_type = 'spending', SUM amounts. Straightforward date range aggregation."
46,can you help me with my bills?,unprocessable,"bills information","ambiguous request - not a data query","Query is too vague and doesn't ask for specific data retrieval. Could mean: show me my bills (processable), explain my bills (unprocessable), help me understand a specific bill (unprocessable), set up payment for bills (unprocessable - action request). Without clarification on what data is requested, cannot determine if query is asking for transaction data or something else entirely. This is a conversational/help request, not a data query."
47,how do I pay my electricity bills?,unprocessable,"electricity bill payment instructions","procedural question - not a data query","Query asks for procedural/instructional information (how to perform an action), not transaction data. This is a 'how-to' question that cannot be answered from transaction data. Even if we can identify electricity bill transactions (via Bills > Utilities category or display_narrative patterns), the data doesn't contain payment method instructions or setup procedures. Not a data retrieval query."
48,"Can you find any payments made to Avis car hire in the last month, the last 6 months, and in 2024?",processable,"Avis car hire merchant (via display_narrative ILIKE), multiple date ranges (last month, last 6 months, 2024 via transaction_booking_timestamp), payment transactions","","Can filter by display_narrative ILIKE '%Avis%' (car hire/rental company), apply three separate date filters (last month, last 6 months, year 2024), return transactions for each time period. Can present results grouped by time period or as three separate result sets. Straightforward multi-period merchant query."
49,What was my average amount spent per store for food during Xmas 2022 at Walmart Whole Foods and Trader Joes?,processable,"food/groceries merchants (Walmart, Whole Foods, Trader Joes via display_narrative ILIKE), Christmas 2022 date range (late December 2022 via transaction_booking_timestamp), spending by merchant, average calculation","","Can filter by display_narrative ILIKE for each merchant (Walmart, Whole Foods/'Wholefoods', Trader Joes/'Trader Joe's'), filter by Christmas period December 2022 (e.g., Dec 20-26 or broader holiday period), group by merchant (display_narrative), calculate AVG(ABS(amount)) per merchant. Returns average transaction size for each store during Christmas 2022. Query structure is valid regardless of data availability."
50,Which months did I have round up savings this year till now?,processable,"round up savings transactions (via display_narrative patterns like 'ROUND UP', 'ROUNDUP SAVINGS'), current year to date filter (via transaction_booking_timestamp), monthly identification","","Can filter by display_narrative ILIKE '%ROUND UP%' OR '%ROUNDUP%' to identify round-up savings transactions (visible in data: 'ROUND UPS TO', 'SAVINGS WEEKLY ROUNDUP', 'ROUNDUP SAVINGS'), filter by year-to-date, SELECT DISTINCT MONTH(transaction_booking_timestamp) to get list of months with round-up activity. Display_narrative reliably contains round-up savings patterns."
51,How much of my grocery budget is left for this month?,processable,"grocery budget (from budgets table via customer_id and groceries category_id), current month grocery spending (via transaction_booking_timestamp and category_id), budget remainder calculation","","Can join to budgets table to get grocery budget amount, calculate current month grocery spending (SUM amounts for groceries category this month), subtract: budget_remaining = budget.amount - current_month_spending. Requires budget join via customer_id mapping. Returns remaining budget amount (positive = under budget, negative = over budget)."
52,How much did I spend in total in the first quarter of the year?,processable,"first quarter date range (Jan-Mar via transaction_booking_timestamp), spending filter (transaction_type = 'spending'), total amount aggregation","","Can filter by transaction_type = 'spending', filter by Q1 months (January, February, March) of current year, SUM amounts. Straightforward quarterly aggregation query. Q1 = months 1-3."
53,Were there any refunds among my biggest transactions last month?,processable,"biggest transactions last month (via amount magnitude and date filter), refund identification (positive amounts or transaction_type = 'income'), combined filtering","","Can filter by last month, order by ABS(amount) DESC to get biggest transactions (say top 10-20), check if any have transaction_type = 'income' or amount > 0 (refunds are positive). Returns boolean answer or list of refund transactions among the largest. Two-stage query: find biggest, then filter for refunds."
54,In which category or at which merchant did I spend the most in March June September October and December when my account balance dropped below 2000 pounds,unprocessable,"spending by category/merchant (via category_id and display_narrative), specific months filter (Mar/Jun/Sep/Oct/Dec), spending aggregation","account balance tracking - balance drop detection not possible","Can identify highest spending category/merchant in specified months via category_id or display_narrative grouping. However, 'when my account balance dropped below 2000 pounds' condition is unprocessable - no balance data available. Cannot filter transactions based on account balance thresholds. Could process the query ignoring the balance condition (spending in those months), but cannot honor the 'when balance dropped below 2000' constraint."
55,Who were my most frequently used travel vendors in July?,processable,"travel transactions (via Transport category_id: 0dd00427-7f5b-bbff-d7c5-f65743115d73 or subcategories), July date filter (via transaction_booking_timestamp), vendor frequency count (via display_narrative)","","Can filter by Transport category_id or subcategories (Train, Coach, Flights, etc.), filter by July, group by display_narrative (vendor/merchant name), COUNT transactions per vendor, order by count DESC. Returns ranked list of most frequently used travel vendors."
56,How many times did I dine out each month?,processable,"dining out transactions (via Eating out category_id: ad2b8c89-ca33-1d71-04a8-84d087ae76b1), monthly grouping (via transaction_booking_timestamp), transaction count per month","","Can filter by Eating out category_id (ad2b8c89-ca33-1d71-04a8-84d087ae76b1), group by month (MONTH and YEAR of transaction_booking_timestamp), COUNT transactions per month. Returns monthly frequency of dining out across all available time periods."
57,What is the month over month growth rate of my spending in each merchant subcategory,processable,"merchant subcategories (via category_id for tier 3 categories from mapping table), monthly spending aggregation (via transaction_booking_timestamp), month-over-month growth calculation","","Can group by category_id and month, SUM spending per category per month, calculate MoM growth: ((current_month - previous_month) / previous_month) * 100 for each category. Use LAG window function or self-join to compare sequential months. Returns growth rate percentage for each subcategory between consecutive months."
58,Compare my average daily spending in each expense area to the average daily spending in the previous month,processable,"expense categories (via category_id filtering for Expense tier 1), daily spending calculation (SUM per day via transaction_booking_timestamp), current vs previous month comparison, averaging","","Can filter expense categories (category_id where tier_1 = 'Expense'), group by category and date, calculate daily totals, then average per category for current month vs previous month: AVG(daily_spending_current) vs AVG(daily_spending_previous). Returns comparison of average daily spending per category across two months."
59,What were my bottom 3 spending categories last month?,processable,"spending categories (via category_id), last month date filter (via transaction_booking_timestamp), spending aggregation by category, bottom 3 selection","","Can filter by last month, filter by transaction_type = 'spending', group by category_id, SUM spending per category, order by sum ASC (or by ABS(sum) ASC), LIMIT 3. Returns 3 categories with lowest spending last month. Need to join with category mapping for human-readable names."
60,What is the total amount I spent at Amazon and Starbucks in the last six months?,processable,"Amazon and Starbucks merchants (via display_narrative ILIKE), last 6 months date filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by (display_narrative ILIKE '%Amazon%' OR '%AMZN%' OR '%Starbucks%'), filter by last 6 months, filter by transaction_type = 'spending', SUM amounts. Can return combined total or separate totals per merchant with GROUP BY display_narrative. Straightforward multi-merchant aggregation."
61,How many times did I visit Starbucks in 2023?,processable,"Starbucks merchant (via display_narrative ILIKE), year 2023 filter (via transaction_booking_timestamp), transaction count","","Can filter by display_narrative ILIKE '%Starbucks%', filter by year 2023, COUNT transactions. Straightforward merchant + date frequency count. 'Visit' interpreted as transaction occurrence."
62,How many transactions did I make on Amazon and eBay in 2023?,processable,"Amazon and eBay merchants (via display_narrative ILIKE), year 2023 filter (via transaction_booking_timestamp), transaction count","","Can filter by (display_narrative ILIKE '%Amazon%' OR '%AMZN%' OR '%eBay%' OR '%Ebay%'), filter by 2023, COUNT transactions total or GROUP BY merchant for separate counts. Straightforward multi-merchant frequency query."
63,How does my spending on Amazon in 2023 compare to my spending on Amazon in 2024?,processable,"Amazon merchant (via display_narrative ILIKE), year filters (2023 vs 2024 via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation and comparison","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%', filter by transaction_type = 'spending', group by year (2023 vs 2024), SUM amounts per year, compare totals. Returns year-over-year comparison of Amazon spending with difference and percentage change."
64,What is my total spending on sports this month?,processable,"sports category (via category_id for Fun & leisure > Sports: 0fe0576d-7b53-2c19-cf30-daa21fae8730), current month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Sports category_id (0fe0576d-7b53-2c19-cf30-daa21fae8730), filter by current month, filter by transaction_type = 'spending', SUM amounts. Straightforward category + date aggregation."
